series id,id,title,frequency
BOGZ1FU284116005A,BOGZ1FU284116005A,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FU284116005Q,BOGZ1FU284116005Q,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
NYGDPMKTPCDWLD,NYGDPMKTPCDWLD,Gross Domestic Product for World,Annual
DDSI041WA156NWDB,DDSI041WA156NWDB,Bank Credit to Bank Deposits for World (DISCONTINUED),Annual
BOGZ1FL764116005Q,BOGZ1FL764116005Q,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Quarterly
BOGZ1FA764116005A,BOGZ1FA764116005A,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FU764116005A,BOGZ1FU764116005A,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FR764116005Q,BOGZ1FR764116005Q,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Quarterly
DDDI041WA156NWDB,DDDI041WA156NWDB,Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets for World (DISCONTINUED),Annual
BOGZ1FL754116005Q,BOGZ1FL754116005Q,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Quarterly
BOGZ1FR754116005A,BOGZ1FR754116005A,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Annual
BOGZ1FR274116005Q,BOGZ1FR274116005Q,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Quarterly
BOGZ1FU274116005Q,BOGZ1FU274116005Q,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FL284116005Q,BOGZ1FL284116005Q,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Quarterly
DDOI141WA156NWDB,DDOI141WA156NWDB,Percentage of Foreign Bank Assets Among Total Bank Assets for World (DISCONTINUED),Annual
DDOI101WA156NWDB,DDOI101WA156NWDB,External Loans and Deposits of Reporting Banks in Relation to the Banking Sector for World (DISCONTINUED),Annual
DDOI011WA156NWDB,DDOI011WA156NWDB,Bank Concentration for World (DISCONTINUED),Annual
DDOI031WA066NWDB,DDOI031WA066NWDB,H-Statistic in Banking Market for World (DISCONTINUED),Annual
DDOI051WA156NWDB,DDOI051WA156NWDB,Boone Indicator in Banking Market for World (DISCONTINUED),Annual
BOGZ1FL764116005A,BOGZ1FL764116005A,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Annual
BOGZ1FA764116005Q,BOGZ1FA764116005Q,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FU764116005Q,BOGZ1FU764116005Q,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FR764116005A,BOGZ1FR764116005A,"U.S.-Chartered Depository Institutions, Including IBFs; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Annual
BOGZ1FL754116005A,BOGZ1FL754116005A,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Annual
BOGZ1FR754116005Q,BOGZ1FR754116005Q,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Quarterly
BOGZ1FR274116005A,BOGZ1FR274116005A,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Annual
BOGZ1FA274116005A,BOGZ1FA274116005A,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FA274116005Q,BOGZ1FA274116005Q,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FU274116005A,BOGZ1FU274116005A,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FL284116005A,BOGZ1FL284116005A,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Annual
DDOI041WA066NWDB,DDOI041WA066NWDB,Lerner Index in Banking Market for World (DISCONTINUED),Annual
DDEI061WA156NWDB,DDEI061WA156NWDB,Bank's Return on Equity for World (DISCONTINUED),Annual
DDEI051WA156NWDB,DDEI051WA156NWDB,Bank's Return on Assets for World (DISCONTINUED),Annual
DDEI071WA156NWDB,DDEI071WA156NWDB,Bank's Cost to Income Ratio for World (DISCONTINUED),Annual
FPCPITOTLZGDEU,FPCPITOTLZGDEU,"Inflation, consumer prices for Germany",Annual
FPCPITOTLZGCHN,FPCPITOTLZGCHN,"Inflation, consumer prices for China",Annual
DDAI021WA643NWDB,DDAI021WA643NWDB,Number of Bank Branches for World (DISCONTINUED),Annual
DDAI011WA642NWDB,DDAI011WA642NWDB,Number of Bank Accounts for World (DISCONTINUED),Annual
DDEI011WA156NWDB,DDEI011WA156NWDB,Bank's Net Interest Margin for World (DISCONTINUED),Annual
DDSI011WA645NWDB,DDSI011WA645NWDB,Bank Z-Score for World (DISCONTINUED),Annual
SPPOP65UPTOZSUSA,SPPOP65UPTOZSUSA,Population ages 65 and above for the United States,Annual
DDSI021WA156NWDB,DDSI021WA156NWDB,Bank Non-Performing Loans to Gross Loans for World (DISCONTINUED),Annual
SIPOVGINICHN,SIPOVGINICHN,GINI Index for China,Annual
BOGZ1FR264016005A,BOGZ1FR264016005A,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Revaluation",Annual
BOGZ1FR264016005Q,BOGZ1FR264016005Q,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Revaluation",Quarterly
BOGZ1FA754116005A,BOGZ1FA754116005A,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FA754116005Q,BOGZ1FA754116005Q,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FU754116005A,BOGZ1FU754116005A,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Annual
BOGZ1FU754116005Q,BOGZ1FU754116005Q,"Foreign Banking Offices in the U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Transactions",Quarterly
BOGZ1FR284116005A,BOGZ1FR284116005A,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Annual
BOGZ1FR284116005Q,BOGZ1FR284116005Q,"International Banking Facilities of Foreign Banking Offices in U.S.; Net Interbank Transactions with Banks in Foreign Countries; Liability, Revaluation",Quarterly
BOGZ1FL274116005A,BOGZ1FL274116005A,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Annual
BOGZ1FL274116005Q,BOGZ1FL274116005Q,"International Banking Facilities of U.S.-Chartered Depository Institutions; Net Interbank Transactions with Banks in Foreign Countries; Liability, Level",Quarterly
DDEI031WA156NWDB,DDEI031WA156NWDB,Bank's Non-Interest Income to Total Income for World (DISCONTINUED),Annual
DDOI061WA156NWDB,DDOI061WA156NWDB,5-Bank Asset Concentration for World (DISCONTINUED),Annual
BOGZ1FA263194763Q,BOGZ1FA263194763Q,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Transactions",Quarterly
BOGZ1FL263194763Q,BOGZ1FL263194763Q,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Level",Quarterly
BOGZ1FR263194763Q,BOGZ1FR263194763Q,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Revaluation",Quarterly
BOGZ1FA263194765A,BOGZ1FA263194765A,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Transactions (DISCONTINUED)",Annual
BOGZ1FL263194765Q,BOGZ1FL263194765Q,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Level (DISCONTINUED)",Quarterly
BOGZ1FR263194765A,BOGZ1FR263194765A,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Revaluation (DISCONTINUED)",Annual
BOGZ1FA263194763A,BOGZ1FA263194763A,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Transactions",Annual
BOGZ1FU263194763A,BOGZ1FU263194763A,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Transactions",Annual
BOGZ1FU263194763Q,BOGZ1FU263194763Q,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Transactions",Quarterly
BOGZ1FL263194763A,BOGZ1FL263194763A,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Level",Annual
BOGZ1FR263194763A,BOGZ1FR263194763A,"Rest of the World; Foreign Bank Subsidiaries Transactions Due to Holding Companies; Liabilities, Revaluation",Annual
DDSI031WA156NWDB,DDSI031WA156NWDB,Bank Capital to Total Assets for World (DISCONTINUED),Annual
BOGZ1FA263194765Q,BOGZ1FA263194765Q,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Transactions (DISCONTINUED)",Quarterly
BOGZ1FU263194765A,BOGZ1FU263194765A,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Transactions (DISCONTINUED)",Annual
BOGZ1FU263194765Q,BOGZ1FU263194765Q,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Transactions (DISCONTINUED)",Quarterly
BOGZ1FL263194765A,BOGZ1FL263194765A,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Level (DISCONTINUED)",Annual
BOGZ1FR263194765Q,BOGZ1FR263194765Q,"Rest of the World; Foreign Bank Subsidiaries Net Transactions Due to Holding Companies; Liabilities, Revaluation (DISCONTINUED)",Quarterly
SMPOPNETMUSA,SMPOPNETMUSA,Net migration for the United States,5 Year
DDOI021WA156NWDB,DDOI021WA156NWDB,Bank Deposits to GDP for World (DISCONTINUED),Annual
DDEI041WA156NWDB,DDEI041WA156NWDB,Bank's Overhead Costs to Total Assets for World (DISCONTINUED),Annual
DDOI121WA156NWDB,DDOI121WA156NWDB,Consolidated Foreign Claims of BIS-Reporting Banks to GDP for World (DISCONTINUED),Annual
DDDI011WA156NWDB,DDDI011WA156NWDB,Private Credit by Deposit Money Banks to GDP for World (DISCONTINUED),Annual
NYGDPPCAPKDCAN,NYGDPPCAPKDCAN,Constant GDP per capita for Canada,Annual
BOGZ1FR264116205Q,BOGZ1FR264116205Q,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Revaluation",Quarterly
RWUSDFBL,RWUSDFBL,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Level",Quarterly
BOGZ1FR264116205A,BOGZ1FR264116205A,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Revaluation",Annual
BOGZ1FL264116205A,BOGZ1FL264116205A,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Level",Annual
DDDI061WA156NWDB,DDDI061WA156NWDB,Central Bank Assets to GDP for World (DISCONTINUED),Annual
DDDI021WA156NWDB,DDDI021WA156NWDB,Deposit Money Bank Assets to GDP for World (DISCONTINUED),Annual
MKTGDPINA646NWDB,MKTGDPINA646NWDB,Gross Domestic Product for India,Annual
FPCPITOTLZGCAN,FPCPITOTLZGCAN,"Inflation, consumer prices for Canada",Annual
DDOI081WA156NWDB,DDOI081WA156NWDB,"Loans from Non-Resident Banks, Net, to GDP for World (DISCONTINUED)",Annual
ITNETUSERP2USA,ITNETUSERP2USA,Internet users for the United States,Annual
BOGZ1FA264116205Q,BOGZ1FA264116205Q,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Transactions",Quarterly
BOGZ1FA264116205A,BOGZ1FA264116205A,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Transactions",Annual
BOGZ1FU264116205A,BOGZ1FU264116205A,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Transactions",Annual
BOGZ1FU264116205Q,BOGZ1FU264116205Q,"Rest of the World; U.S. Deposits at Foreign Banks; Liability, Transactions",Quarterly
NYGDPPCAPKDWLD,NYGDPPCAPKDWLD,Constant GDP per capita for the World,Annual
DDEI021WA156NWDB,DDEI021WA156NWDB,Bank Lending Deposit Spread for World (DISCONTINUED),Annual
FPCPITOTLZGIND,FPCPITOTLZGIND,"Inflation, consumer prices for India",Annual
ROWNITQ027S,ROWNITQ027S,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Transactions",Quarterly
ROWNITA027N,ROWNITA027N,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Transactions",Annual
NYGDPPCAPKDGBR,NYGDPPCAPKDGBR,Constant GDP per capita for the United Kingdom,Annual
DDOI091WA156NWDB,DDOI091WA156NWDB,"Loans from Non-Resident Banks, Amounts Outstanding, to GDP for World (DISCONTINUED)",Annual
MKTGNIPHA646NWDB,MKTGNIPHA646NWDB,Gross National Income for Philippines,Annual
SPDYNLE00INUSA,SPDYNLE00INUSA,"Life Expectancy at Birth, Total for the United States",Annual
MKTGDPCAA646NWDB,MKTGDPCAA646NWDB,Gross Domestic Product for Canada,Annual
ROWNIBQ027S,ROWNIBQ027S,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Level",Quarterly
ROWNIBA027N,ROWNIBA027N,"Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset, Level",Annual
SIPOVGINIIND,SIPOVGINIIND,GINI Index for India,Annual
DDDM01USA156NWDB,DDDM01USA156NWDB,Stock Market Capitalization to GDP for United States,Annual
FPCPITOTLZGWLD,FPCPITOTLZGWLD,"Inflation, consumer prices for the World",Annual
RWNITBFCA,RWNITBFCA,Rest of the World; Net Interbank Transactions with Banks in Foreign Countries; Asset (DISCONTINUED),Quarterly
NYGDPPCAPKDIND,NYGDPPCAPKDIND,Constant GDP per capita for India,Annual
MKTGDPFRA646NWDB,MKTGDPFRA646NWDB,Gross Domestic Product for France,Annual
SIPOVGINIPHL,SIPOVGINIPHL,GINI Index for the Philippines,Annual
SIPOVGINIBRA,SIPOVGINIBRA,GINI Index for Brazil,Annual
NYGDPPCAPKDDEU,NYGDPPCAPKDDEU,Constant GDP per capita for Germany,Annual
ECBESTRVOLWGTTRMDMNRT,ECBESTRVOLWGTTRMDMNRT,Euro Short-Term Rate: Volume-Weighted Trimmed Mean Rate,Daily
SLUEM1524ZSCHN,SLUEM1524ZSCHN,Youth Unemployment Rate for China,Annual
NYGDPPCAPKDITA,NYGDPPCAPKDITA,Constant GDP per capita for Italy,Annual
IDSGBAMNIAOW1,IDSGBAMNIAOW1,"Amount Outstanding of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Nationality of Issuer in All countries (DISCONTINUED)",Quarterly
SIPOVGINIRUS,SIPOVGINIRUS,GINI Index for the Russian Federation,Annual
NYGDPPCAPKDARG,NYGDPPCAPKDARG,Constant GDP per capita for Argentina,Annual
NYGDPPCAPKDKOR,NYGDPPCAPKDKOR,Constant GDP per capita for the Republic of Korea,Annual
SLUEM1524ZSIND,SLUEM1524ZSIND,Youth Unemployment Rate for India,Annual
BOGZ1FL264135125Q,BOGZ1FL264135125Q,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Level",Quarterly
BOGZ1FL264135125A,BOGZ1FL264135125A,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Level",Annual
DDOM01USA644NWDB,DDOM01USA644NWDB,Number of Listed Companies for United States,Annual
ECBMRRFR,ECBMRRFR,ECB Main Refinancing Operations Rate: Fixed Rate Tenders for Euro Area,"Daily, 7-Day"
DDDI031WA156NWDB,DDDI031WA156NWDB,Non-Bank Financial Institutions' Assets to GDP for World (DISCONTINUED),Annual
BOGZ1FR264135125A,BOGZ1FR264135125A,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Revaluation",Annual
BOGZ1FR264135125Q,BOGZ1FR264135125Q,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Revaluation",Quarterly
BOGZ1FA264135125A,BOGZ1FA264135125A,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Transactions",Annual
BOGZ1FA264135125Q,BOGZ1FA264135125Q,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Transactions",Quarterly
BOGZ1FU264135125A,BOGZ1FU264135125A,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Transactions",Annual
BOGZ1FU264135125Q,BOGZ1FU264135125Q,"Rest of the World; Depository Institution Loans to Foreign Banks; Liability, Transactions",Quarterly
MKTGDPITA646NWDB,MKTGDPITA646NWDB,Gross Domestic Product for Italy,Annual
FPCPITOTLZGBRA,FPCPITOTLZGBRA,"Inflation, consumer prices for Brazil",Annual
FPCPITOTLZGITA,FPCPITOTLZGITA,"Inflation, consumer prices for Italy",Annual
FPCPITOTLZGTUR,FPCPITOTLZGTUR,"Inflation, consumer prices for Turkey",Annual
SIPOVGINIDEU,SIPOVGINIDEU,GINI Index for Germany,Annual
SPPOPDPNDOLUSA,SPPOPDPNDOLUSA,Age Dependency Ratio: Older Dependents to Working-Age Population for the United States,Annual
SLEMPTOTLSPZSIND,SLEMPTOTLSPZSIND,Employment to Population Ratio for India,Annual
MKTGDPKRA646NWDB,MKTGDPKRA646NWDB,Gross Domestic Product for Republic of Korea,Annual
FPCPITOTLZGFRA,FPCPITOTLZGFRA,"Inflation, consumer prices for France",Annual
FPCPITOTLZGEMU,FPCPITOTLZGEMU,"Inflation, consumer prices for the Euro Area",Annual
SIPOVGINIGBR,SIPOVGINIGBR,GINI Index for the United Kingdom,Annual
SIPOVGINICAN,SIPOVGINICAN,GINI Index for Canada,Annual
NYGDPPCAPKDFRA,NYGDPPCAPKDFRA,Constant GDP per capita for France,Annual
PCAGDPCNA646NWDB,PCAGDPCNA646NWDB,Gross Domestic Product Per Capita for China,Annual
SLUEM1524ZSUSA,SLUEM1524ZSUSA,Youth Unemployment Rate for the United States,Annual
FPCPITOTLZGARG,FPCPITOTLZGARG,"Inflation, consumer prices for Argentina",Annual
SPDYNTFRTINJPN,SPDYNTFRTINJPN,"Fertility Rate, Total for Japan",Annual
DDDI121WA156NWDB,DDDI121WA156NWDB,Private Credit by Deposit Money Banks and Other Financial Institutions to GDP for World (DISCONTINUED),Annual
FPCPITOTLZGMEX,FPCPITOTLZGMEX,"Inflation, consumer prices for Mexico",Annual
IDSGBAMNINIW1,IDSGBAMNINIW1,"Net Issues of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Nationality of Issuer in All countries (DISCONTINUED)",Quarterly
DEBTTLCAA188A,DEBTTLCAA188A,"Central government debt, total (% of GDP) for Canada",Annual
SIPOVGINIIDN,SIPOVGINIIDN,GINI Index for Indonesia,Annual
SIPOVGINIMEX,SIPOVGINIMEX,GINI Index for Mexico,Annual
BAMLHE00EHYIEY,BAMLHE00EHYIEY,ICE BofA Euro High Yield Index Effective Yield,"Daily, Close"
MKTGDPSGA646NWDB,MKTGDPSGA646NWDB,Gross Domestic Product for Singapore,Annual
FPCPITOTLZGAUS,FPCPITOTLZGAUS,"Inflation, consumer prices for Australia",Annual
DEBTTLCNA188A,DEBTTLCNA188A,"Central government debt, total (% of GDP) for China",Annual
FPCPITOTLZGEUU,FPCPITOTLZGEUU,"Inflation, consumer prices for the European Union",Annual
SIPOVGINIJPN,SIPOVGINIJPN,GINI Index for Japan,Annual
SIPOVGINITHA,SIPOVGINITHA,GINI Index for Thailand,Annual
NYGDPPCAPKDRUS,NYGDPPCAPKDRUS,Constant GDP per capita for the Russian Federation,Annual
NYGDPPCAPKDAUS,NYGDPPCAPKDAUS,Constant GDP per capita for Australia,Annual
MKTGDPMXA646NWDB,MKTGDPMXA646NWDB,Gross Domestic Product for Mexico,Annual
FPCPITOTLZGKOR,FPCPITOTLZGKOR,"Inflation, consumer prices for the Republic of Korea",Annual
POPTOTJP52647NWDB,POPTOTJP52647NWDB,"Population, Total for Japan",5 Year
SMPOPREFGPSE,SMPOPREFGPSE,Refugee Population by Country or Territory of Asylum for the Occupied Palestinian Territory,Annual
BAMLHE00EHYIOAS,BAMLHE00EHYIOAS,ICE BofA Euro High Yield Index Option-Adjusted Spread,"Daily, Close"
FPCPITOTLZGRUS,FPCPITOTLZGRUS,"Inflation, consumer prices for the Russian Federation",Annual
POPTOTJPA647NWDB,POPTOTJPA647NWDB,"Population, Total for Japan",Annual
MKTGDPMYA646NWDB,MKTGDPMYA646NWDB,Gross Domestic Product for Malaysia,Annual
FPCPITOTLZGESP,FPCPITOTLZGESP,"Inflation, consumer prices for Spain",Annual
MKTGDPVNA646NWDB,MKTGDPVNA646NWDB,Gross Domestic Product for Viet Nam,Annual
DEBTTLINA188A,DEBTTLINA188A,"Central government debt, total (% of GDP) for India",Annual
SIPOVGINIFRA,SIPOVGINIFRA,GINI Index for France,Annual
ECBMLFR,ECBMLFR,ECB Marginal Lending Facility Rate for Euro Area,"Daily, 7-Day"
POPTOTCN52647NWDB,POPTOTCN52647NWDB,"Population, Total for China",5 Year
MKTGDPARA646NWDB,MKTGDPARA646NWDB,Gross Domestic Product for Argentina,Annual
PCAGDPCAA646NWDB,PCAGDPCAA646NWDB,Gross Domestic Product Per Capita for Canada,Annual
DEBTTLGRA188A,DEBTTLGRA188A,"Central government debt, total (% of GDP) for Greece",Annual
SIPOVGINISWE,SIPOVGINISWE,GINI Index for Sweden,Annual
NYGDPPCAPKDESP,NYGDPPCAPKDESP,Constant GDP per capita for Spain,Annual
POPTOTCNA647NWDB,POPTOTCNA647NWDB,"Population, Total for China",Annual
MKTGDPRUA646NWDB,MKTGDPRUA646NWDB,Gross Domestic Product for Russian Federation,Annual
NYGDPPCAPKDBRA,NYGDPPCAPKDBRA,Constant GDP per capita for Brazil,Annual
MKTGDPESA646NWDB,MKTGDPESA646NWDB,Gross Domestic Product for Spain,Annual
PCAGDPJPA646NWDB,PCAGDPJPA646NWDB,Gross Domestic Product Per Capita for Japan,Annual
MKTGDPTHA646NWDB,MKTGDPTHA646NWDB,Gross Domestic Product for Thailand,Annual
FPCPITOTLZGZWE,FPCPITOTLZGZWE,"Inflation, consumer prices for Zimbabwe",Annual
SIPOVGININGA,SIPOVGININGA,GINI Index for Nigeria,Annual
SIPOVGINIARG,SIPOVGINIARG,GINI Index for Argentina,Annual
SIPOVGINIMYS,SIPOVGINIMYS,GINI Index for Malaysia,Annual
SIPOVGINIIRN,SIPOVGINIIRN,GINI Index for the Islamic Republic of Iran,Annual
SPDYNIMRTINUSA,SPDYNIMRTINUSA,Infant Mortality Rate for the United States,Annual
EONIARATE,EONIARATE,EONIA: Euro Interbank Offered Rate (DISCONTINUED),Daily
MKTGDPSEA646NWDB,MKTGDPSEA646NWDB,Gross Domestic Product for Sweden,Annual
FPCPITOTLZGTHA,FPCPITOTLZGTHA,"Inflation, consumer prices for Thailand",Annual
FPCPITOTLZGPHL,FPCPITOTLZGPHL,"Inflation, consumer prices for the Philippines",Annual
MKTGDPIRA646NWDB,MKTGDPIRA646NWDB,Gross Domestic Product for Islamic Republic of Iran,Annual
FPCPITOTLZGGRC,FPCPITOTLZGGRC,"Inflation, consumer prices for Greece",Annual
IDSBMRIAOW1,IDSBMRIAOW1,"Amount Outstanding of International Debt Securities for Issuers in Financial Institutions Sector (Banks), All Maturities, Residence of Issuer in All countries (DISCONTINUED)",Quarterly
SIPOVGINITUR,SIPOVGINITUR,GINI Index for Turkey,Annual
SIPOVGININOR,SIPOVGININOR,GINI Index for Norway,Annual
NYGDPPCAPKDTUR,NYGDPPCAPKDTUR,Constant GDP per capita for Turkey,Annual
NYGDPPCAPKDMEX,NYGDPPCAPKDMEX,Constant GDP per capita for Mexico,Annual
ITCELSETSP2USA,ITCELSETSP2USA,Mobile Cellular Subscriptions in the United States,Annual
SLEMPTOTLSPZSCHN,SLEMPTOTLSPZSCHN,Employment to Population Ratio for China,Annual
MKTGDPPKA646NWDB,MKTGDPPKA646NWDB,Gross Domestic Product for Pakistan,Annual
SPPOPGROWCHN,SPPOPGROWCHN,Population Growth for China,Annual
